Wavelength (m),Spectral flux (W/m^2/m)
6.1900E-07,3.17E-07
6.1950E-07,3.19E-07
6.2000E-07,3.20E-07
6.2050E-07,3.18E-07
6.2100E-07,3.15E-07
6.2150E-07,3.15E-07
6.2200E-07,3.14E-07
6.2250E-07,3.12E-07
6.2300E-07,3.10E-07
6.2350E-07,3.09E-07
6.2400E-07,3.07E-07
6.2450E-07,3.06E-07
6.2500E-07,3.07E-07
6.2550E-07,3.09E-07
6.2600E-07,3.11E-07
6.2650E-07,3.10E-07
6.2700E-07,3.05E-07
6.2750E-07,3.03E-07
6.2800E-07,3.06E-07
6.2850E-07,3.06E-07
6.2900E-07,3.05E-07
6.2950E-07,3.03E-07
6.3000E-07,3.04E-07
6.3050E-07,3.05E-07
6.3100E-07,3.03E-07
6.3150E-07,3.04E-07
6.3200E-07,3.07E-07
6.3250E-07,3.07E-07
6.3300E-07,3.05E-07
6.3350E-07,3.04E-07
6.3400E-07,3.06E-07
6.3450E-07,3.07E-07
6.3500E-07,3.06E-07
6.3550E-07,3.04E-07
6.3600E-07,3.04E-07
6.3650E-07,3.06E-07
6.3700E-07,3.06E-07
6.3750E-07,3.07E-07
6.3800E-07,3.07E-07
6.3850E-07,3.05E-07
6.3900E-07,3.02E-07
6.3950E-07,3.01E-07
6.4000E-07,3.01E-07
6.4050E-07,3.00E-07
6.4100E-07,2.99E-07
6.4150E-07,2.99E-07
6.4200E-07,3.01E-07
6.4250E-07,3.00E-07
6.4300E-07,2.99E-07
6.4350E-07,3.00E-07
6.4400E-07,3.00E-07
6.4450E-07,2.98E-07
6.4500E-07,2.96E-07
6.4550E-07,2.95E-07
6.4600E-07,2.96E-07
6.4650E-07,2.97E-07
6.4700E-07,2.97E-07
6.4750E-07,2.98E-07
6.4800E-07,2.97E-07
6.4850E-07,2.91E-07
6.4900E-07,2.85E-07
6.4950E-07,2.90E-07
6.5000E-07,2.96E-07
6.5050E-07,2.96E-07
6.5100E-07,2.93E-07
6.5150E-07,2.93E-07
6.5200E-07,2.93E-07
6.5250E-07,2.92E-07
6.5300E-07,2.92E-07
6.5350E-07,2.89E-07
6.5400E-07,2.83E-07
6.5450E-07,2.75E-07
6.5500E-07,2.55E-07
6.5550E-07,2.29E-07
6.5600E-07,2.30E-07
6.5650E-07,2.56E-07
6.5700E-07,2.75E-07
6.5750E-07,2.82E-07
6.5800E-07,2.83E-07
6.5850E-07,2.83E-07
6.5900E-07,2.84E-07
6.5950E-07,2.86E-07
6.6000E-07,2.87E-07
6.6050E-07,2.87E-07
6.6100E-07,2.88E-07
6.6150E-07,2.88E-07
6.6200E-07,2.87E-07
6.6250E-07,2.86E-07
6.6300E-07,2.84E-07
6.6350E-07,2.84E-07
6.6400E-07,2.85E-07
6.6450E-07,2.85E-07
6.6500E-07,2.85E-07
6.6550E-07,2.84E-07
6.6600E-07,2.83E-07
6.6650E-07,2.83E-07
6.6700E-07,2.82E-07
6.6750E-07,2.82E-07
6.6800E-07,2.83E-07
6.6850E-07,2.83E-07
6.6900E-07,2.82E-07
6.6950E-07,2.80E-07
6.7000E-07,2.79E-07
6.7050E-07,2.78E-07
6.7100E-07,2.77E-07
6.7150E-07,2.76E-07
6.7200E-07,2.77E-07
6.7250E-07,2.77E-07
6.7300E-07,2.77E-07
6.7350E-07,2.76E-07
6.7400E-07,2.75E-07
6.7450E-07,2.74E-07
6.7500E-07,2.74E-07
6.7550E-07,2.74E-07
6.7600E-07,2.74E-07
6.7650E-07,2.73E-07
6.7700E-07,2.74E-07
6.7750E-07,2.74E-07
6.7800E-07,2.73E-07
6.7850E-07,2.72E-07
6.7900E-07,2.72E-07
6.7950E-07,2.73E-07
6.8000E-07,2.72E-07
6.8050E-07,2.72E-07
6.8100E-07,2.72E-07
6.8150E-07,2.72E-07
6.8200E-07,2.72E-07
6.8250E-07,2.71E-07
6.8300E-07,2.69E-07
6.8350E-07,2.67E-07
6.8400E-07,2.67E-07
6.8450E-07,2.68E-07
6.8500E-07,2.66E-07
6.8550E-07,2.58E-07
6.8600E-07,0.00E+00
6.8650E-07,0.00E+00
6.8700E-07,0.00E+00
6.8750E-07,0.00E+00
6.8800E-07,0.00E+00
6.8850E-07,0.00E+00
6.8900E-07,0.00E+00
6.8950E-07,0.00E+00
6.9000E-07,0.00E+00
6.9050E-07,0.00E+00
6.9100E-07,0.00E+00
6.9150E-07,0.00E+00
6.9200E-07,0.00E+00
6.9250E-07,0.00E+00
6.9300E-07,0.00E+00
6.9350E-07,0.00E+00
6.9400E-07,0.00E+00
6.9450E-07,0.00E+00
6.9500E-07,2.56E-07
6.9550E-07,2.57E-07
6.9600E-07,2.63E-07
6.9650E-07,2.63E-07
6.9700E-07,2.61E-07
6.9750E-07,2.60E-07
6.9800E-07,2.61E-07
6.9850E-07,2.61E-07
6.9900E-07,2.60E-07
6.9950E-07,2.58E-07
7.0000E-07,2.55E-07
7.0050E-07,2.55E-07
7.0100E-07,2.54E-07
7.0150E-07,2.54E-07
7.0200E-07,2.54E-07
7.0250E-07,2.55E-07
7.0300E-07,2.55E-07
7.0350E-07,2.56E-07
7.0400E-07,2.57E-07
7.0450E-07,2.57E-07
7.0500E-07,2.56E-07
7.0550E-07,2.55E-07
7.0600E-07,2.54E-07
7.0650E-07,2.54E-07
7.0700E-07,2.55E-07
7.0750E-07,2.54E-07
7.0800E-07,2.53E-07
7.0850E-07,2.52E-07
7.0900E-07,2.52E-07
7.0950E-07,2.53E-07
7.1000E-07,2.52E-07
7.1050E-07,2.51E-07
7.1100E-07,2.49E-07
7.1150E-07,2.49E-07
7.1200E-07,2.49E-07
7.1250E-07,2.48E-07
7.1300E-07,2.48E-07
7.1350E-07,2.49E-07
7.1400E-07,2.47E-07
7.1450E-07,2.45E-07
7.1500E-07,2.46E-07
7.1550E-07,2.44E-07
7.1600E-07,0.00E+00
7.1650E-07,0.00E+00
7.1700E-07,0.00E+00
7.1750E-07,0.00E+00
7.1800E-07,0.00E+00
7.1850E-07,0.00E+00
7.1900E-07,0.00E+00
7.1950E-07,0.00E+00
7.2000E-07,0.00E+00
7.2050E-07,0.00E+00
7.2100E-07,0.00E+00
7.2150E-07,0.00E+00
7.2200E-07,0.00E+00
7.2250E-07,0.00E+00
7.2300E-07,0.00E+00
7.2350E-07,0.00E+00
7.2400E-07,0.00E+00
7.2450E-07,0.00E+00
7.2500E-07,0.00E+00
7.2550E-07,0.00E+00
7.2600E-07,0.00E+00
7.2650E-07,0.00E+00
7.2700E-07,0.00E+00
7.2750E-07,0.00E+00
7.2800E-07,0.00E+00
7.2850E-07,0.00E+00
7.2900E-07,0.00E+00
7.2950E-07,0.00E+00
7.3000E-07,0.00E+00
7.3050E-07,0.00E+00
7.3100E-07,0.00E+00
7.3150E-07,0.00E+00
7.3200E-07,2.26E-07
7.3250E-07,2.32E-07
7.3300E-07,2.33E-07
7.3350E-07,2.35E-07
7.3400E-07,2.33E-07
7.3450E-07,2.31E-07
7.3500E-07,2.31E-07
7.3550E-07,2.31E-07
7.3600E-07,2.31E-07
7.3650E-07,2.31E-07
7.3700E-07,2.31E-07
7.3750E-07,2.31E-07
7.3800E-07,2.28E-07
7.3850E-07,2.27E-07
7.3900E-07,2.28E-07
7.3950E-07,2.29E-07
7.4000E-07,2.28E-07
7.4050E-07,2.26E-07
7.4100E-07,2.26E-07
7.4150E-07,2.26E-07
7.4200E-07,2.27E-07
7.4250E-07,2.29E-07
7.4300E-07,2.30E-07
7.4350E-07,2.28E-07
7.4400E-07,2.26E-07
7.4450E-07,2.27E-07
7.4500E-07,2.28E-07
7.4550E-07,2.28E-07
7.4600E-07,2.27E-07
7.4650E-07,2.28E-07
7.4700E-07,2.28E-07
7.4750E-07,2.27E-07
